
Running tests for data/mivia/si6/rand/r005/Fri Mar  8 18:35:37 CET 2013
data/mivia/si6/rand/r005/20.A92;odcull=[7] 0.02;vf2_sub1=[7] 0.04;vf2=[7] 0.03
data/mivia/si6/rand/r005/20.A93;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A94;odcull=[8] 0.02;vf2_sub1=[8] 0.05;vf2=[8] 0.04
data/mivia/si6/rand/r005/20.A95;odcull=[4] 0.02;vf2_sub1=[4] 0.04;vf2=[4] 0.05
data/mivia/si6/rand/r005/20.A96;odcull=[1] 0.03;vf2_sub1=[1] 0.04;vf2=[1] 0.06
data/mivia/si6/rand/r005/20.A97;odcull=[3] 0.02;vf2_sub1=[3] 0.04;vf2=[3] 0.04
data/mivia/si6/rand/r005/20.A98;odcull=[1] 0.02;vf2_sub1=[1] 0.05;vf2=[1] 0.03
data/mivia/si6/rand/r005/20.A99;odcull=[1] 0.02;vf2_sub1=[1] 0.04;vf2=[1] 0.04
data/mivia/si6/rand/r005/40.A00;odcull=[1] 0.10;vf2_sub1=[1] 0.15;vf2=[1] 0.55
data/mivia/si6/rand/r005/40.A01;odcull=[2] 0.08;vf2_sub1=[2] 0.10;vf2=[2] 0.69
data/mivia/si6/rand/r005/40.A02;odcull=[1] 0.10;vf2_sub1=[1] 0.12;vf2=[1] 0.17
data/mivia/si6/rand/r005/40.A03;odcull=[1] 0.07;vf2_sub1=[1] 0.10;vf2=[1] 0.15
data/mivia/si6/rand/r005/40.A04;odcull=[2] 0.08;vf2_sub1=[2] 0.11;vf2=[2] 0.10
data/mivia/si6/rand/r005/40.A05;odcull=[4] 0.13;vf2_sub1=[4] 0.11;vf2=[4] 0.30
data/mivia/si6/rand/r005/40.A06;odcull=[1] 0.12;vf2_sub1=[1] 0.12;vf2=[1] 0.21
data/mivia/si6/rand/r005/40.A07;odcull=[2] 0.08;vf2_sub1=[2] 0.11;vf2=[2] 0.09
data/mivia/si6/rand/r005/40.A08;odcull=[1] 0.09;vf2_sub1=[1] 0.10;vf2=[1] 0.08
data/mivia/si6/rand/r005/40.A09;odcull=[3] 0.10;vf2_sub1=[3] 0.14;vf2=[3] 0.08
data/mivia/si6/rand/r005/40.A10;odcull=[1] 0.07;vf2_sub1=[1] 0.10;vf2=[1] 0.07
data/mivia/si6/rand/r005/40.A11;odcull=[2] 0.08;vf2_sub1=[2] 0.11;vf2=[2] 0.40
data/mivia/si6/rand/r005/40.A12;odcull=[2] 0.07;vf2_sub1=[2] 0.11;vf2=[2] 0.08
data/mivia/si6/rand/r005/40.A13;odcull=[2] 0.08;vf2_sub1=[2] 0.10;vf2=[2] 0.34
data/mivia/si6/rand/r005/40.A14;odcull=[1] 0.10;vf2_sub1=[1] 0.10;vf2=[1] 0.24
data/mivia/si6/rand/r005/40.A15;odcull=[1] 0.08;vf2_sub1=[1] 0.14;vf2=[1] 0.39
data/mivia/si6/rand/r005/40.A16;odcull=[1] 0.08;vf2_sub1=[1] 0.09;vf2=[1] 0.08
data/mivia/si6/rand/r005/40.A17;odcull=[1] 0.07;vf2_sub1=[1] 0.09;vf2=[1] 0.33
data/mivia/si6/rand/r005/40.A18;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.07
data/mivia/si6/rand/r005/40.A19;odcull=[1] 0.09;vf2_sub1=[1] 0.09;vf2=[1] 0.29
data/mivia/si6/rand/r005/40.A20;odcull=[2] 0.11;vf2_sub1=[2] 0.10;vf2=[2] 0.18
data/mivia/si6/rand/r005/40.A21;odcull=[1] 0.10;vf2_sub1=[1] 0.09;vf2=[1] 0.26
data/mivia/si6/rand/r005/40.A22;odcull=[1] 0.09;vf2_sub1=[1] 0.10;vf2=[1] 0.14
data/mivia/si6/rand/r005/40.A23;odcull=[1] 0.07;vf2_sub1=[1] 0.09;vf2=[1] 0.21
data/mivia/si6/rand/r005/40.A24;odcull=[1] 0.07;vf2_sub1=[1] 0.10;vf2=[1] 0.09
data/mivia/si6/rand/r005/40.A25;odcull=[1] 0.10;vf2_sub1=[1] 0.10;vf2=[1] 0.43
data/mivia/si6/rand/r005/40.A26;odcull=[1] 0.07;vf2_sub1=[1] 0.10;vf2=[1] 0.22
data/mivia/si6/rand/r005/40.A27;odcull=[1] 0.09;vf2_sub1=[1] 0.10;vf2=[1] 0.28
data/mivia/si6/rand/r005/40.A28;odcull=[2] 0.07;vf2_sub1=[2] 0.10;vf2=[2] 0.15
data/mivia/si6/rand/r005/40.A29;odcull=[1] 0.08;vf2_sub1=[1] 0.11;vf2=[1] 0.10
data/mivia/si6/rand/r005/40.A30;odcull=[1] 0.08;vf2_sub1=[1] 0.09;vf2=[1] 0.10
data/mivia/si6/rand/r005/40.A31;odcull=[4] 0.09;vf2_sub1=[4] 0.10;vf2=[4] 0.17
data/mivia/si6/rand/r005/40.A32;odcull=[2] 0.08;vf2_sub1=[2] 0.10;vf2=[2] 0.09
data/mivia/si6/rand/r005/40.A33;odcull=[1] 0.08;vf2_sub1=[1] 0.11;vf2=[1] 0.10
data/mivia/si6/rand/r005/40.A34;odcull=[2] 0.07;vf2_sub1=[2] 0.10;vf2=[2] 0.10
data/mivia/si6/rand/r005/40.A35;odcull=[2] 0.09;vf2_sub1=[2] 0.12;vf2=[2] 0.12
data/mivia/si6/rand/r005/40.A36;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.09
data/mivia/si6/rand/r005/40.A37;odcull=[1] 0.12;vf2_sub1=[1] 0.12;vf2=[1] 0.07
data/mivia/si6/rand/r005/40.A38;odcull=[1] 0.09;vf2_sub1=[1] 0.10;vf2=[1] 0.22
data/mivia/si6/rand/r005/40.A39;odcull=[1] 0.09;vf2_sub1=[1] 0.14;vf2=[1] 0.49
data/mivia/si6/rand/r005/40.A40;odcull=[1] 0.10;vf2_sub1=[1] 0.15;vf2=[1] 0.26
data/mivia/si6/rand/r005/40.A41;odcull=[2] 0.10;vf2_sub1=[2] 0.10;vf2=[2] 0.12
data/mivia/si6/rand/r005/40.A42;odcull=[1] 0.09;vf2_sub1=[1] 0.12;vf2=[1] 0.21
data/mivia/si6/rand/r005/40.A43;odcull=[4] 0.07;vf2_sub1=[4] 0.11;vf2=[4] 0.12
data/mivia/si6/rand/r005/40.A44;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.06
data/mivia/si6/rand/r005/40.A45;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.28
data/mivia/si6/rand/r005/40.A46;odcull=[1] 0.27;vf2_sub1=[1] 0.18;vf2=[1] 0.62
data/mivia/si6/rand/r005/40.A47;odcull=[2] 0.08;vf2_sub1=[2] 0.16;vf2=[2] 1.09
data/mivia/si6/rand/r005/40.A48;odcull=[1] 0.10;vf2_sub1=[1] 0.09;vf2=[1] 0.17
data/mivia/si6/rand/r005/40.A49;odcull=[1] 0.09;vf2_sub1=[1] 0.10;vf2=[1] 0.14
data/mivia/si6/rand/r005/40.A50;odcull=[1] 0.09;vf2_sub1=[1] 0.09;vf2=[1] 0.31
data/mivia/si6/rand/r005/40.A51;odcull=[2] 0.09;vf2_sub1=[2] 0.09;vf2=[2] 0.44
data/mivia/si6/rand/r005/40.A52;odcull=[4] 0.15;vf2_sub1=[4] 0.12;vf2=[4] 0.12
data/mivia/si6/rand/r005/40.A53;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.21
data/mivia/si6/rand/r005/40.A54;odcull=[1] 0.13;vf2_sub1=[1] 0.10;vf2=[1] 0.19
data/mivia/si6/rand/r005/40.A55;odcull=[2] 0.10;vf2_sub1=[2] 0.11;vf2=[2] 0.34
data/mivia/si6/rand/r005/40.A56;odcull=[2] 0.11;vf2_sub1=[2] 0.10;vf2=[2] 0.07
data/mivia/si6/rand/r005/40.A57;odcull=[1] 0.09;vf2_sub1=[1] 0.10;vf2=[1] 0.18
data/mivia/si6/rand/r005/40.A58;odcull=[2] 0.10;vf2_sub1=[2] 0.10;vf2=[2] 0.12
data/mivia/si6/rand/r005/40.A59;odcull=[2] 0.11;vf2_sub1=[2] 0.12;vf2=[2] 0.30
data/mivia/si6/rand/r005/40.A60;odcull=[1] 0.13;vf2_sub1=[1] 0.12;vf2=[1] 0.08
data/mivia/si6/rand/r005/40.A61;odcull=[1] 0.08;vf2_sub1=[1] 0.12;vf2=[1] 0.07
data/mivia/si6/rand/r005/40.A62;odcull=[1] 0.09;vf2_sub1=[1] 0.09;vf2=[1] 0.10
data/mivia/si6/rand/r005/40.A63;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.07
